M_ac_e,M_co2_e,M_etoh_e,M_for_e,M_glc_D_e,M_h2_e,M_lac_D_e,M_nh4_e,M_succ_e
9.898710865561693995e-01,2.013142474468441190e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.631759584798258667e+00,2.210279591495060814e+00,0.000000000000000000e+00,-1.046542775824543581e+00,0.000000000000000000e+00
8.214260190104104575e-01,1.137289468042022994e-01,5.312432999023274094e-02,0.000000000000000000e+00,-1.186768944898396683e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.956595278366724200e-01,7.740667508397455210e-01
0.000000000000000000e+00,1.448801742919389735e-01,4.393609295570079232e-02,0.000000000000000000e+00,-9.224945533769062678e+00,1.000000000000000000e+00,1.288126361655773344e+01,-4.539578794480754631e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.962780098746676277e-02,0.000000000000000000e+00,0.000000000000000000e+00,-9.671857197113558513e+00,1.000000000000000000e+00,1.351917964299278374e+01,-4.748195974173945899e+00,4.595518420053171238e-02
7.053432474494206739e-01,6.033008626818068230e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,8.065210290698791029e-01,0.000000000000000000e+00,-4.804119353661113756e-01,7.099928910407899973e-01
7.481165919282510401e+00,7.040358744394617507e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.141973094170403513e+01,8.661883408071748391e+00,1.000000000000000000e+00,-5.606278026905829215e+00,7.535426008968609146e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.340872374798060818e-02,-1.028513731825525035e+01,1.000000000000000000e+00,1.437641357027463584e+01,-5.049273021001615014e+00,4.886914378029078715e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.031684168012924019e+01,1.000000000000000000e+00,1.437641357027463584e+01,-5.049273021001615014e+00,1.122778675282714023e-01
7.222664432341851182e+00,0.000000000000000000e+00,4.671135316296606277e-01,1.000000000000000000e+00,-1.043506493506493449e+01,7.792836196062002507e+00,0.000000000000000000e+00,-5.237536656891495390e+00,6.806242144951822226e+00
8.813650683372662442e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.252530455302276913e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.990201597930117083e-01,8.946851454787201341e-01
7.053432474494206739e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.033008626818068230e-03,-1.000000000000000000e+00,8.004880204430609991e-01,0.000000000000000000e+00,-4.804119353661113756e-01,7.099928910407899973e-01
7.481165919282510401e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.040358744394617507e-02,-1.141973094170403513e+01,8.591479820627801800e+00,1.000000000000000000e+00,-5.606278026905829215e+00,7.535426008968609146e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.032581453634085045e-01,1.000000000000000000e+00,-6.367293233082706649e+01,5.902255639097743867e+00,8.890977443609021691e+01,-3.133333333333333215e+01,0.000000000000000000e+00
0.000000000000000000e+00,1.302614379084967311e+01,1.292519970951343389e+01,0.000000000000000000e+00,-9.224945533769062678e+00,1.000000000000000000e+00,0.000000000000000000e+00,-4.539578794480754631e+00,0.000000000000000000e+00
9.898710865561693995e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.013142474468441190e+00,-1.631759584798258667e+00,1.971371170266197625e-01,0.000000000000000000e+00,-1.046542775824543581e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.202614379084967311e+01,1.292519970951343389e+01,1.000000000000000000e+00,-9.224945533769062678e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.539578794480754631e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.236628395407448844e+00,1.329076822552039516e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.667973490152151350e-01,1.028283394007280804e-01
6.781033493667534273e-01,1.580027359781121521e-01,1.000000000000000000e+00,0.000000000000000000e+00,-2.111866201844578406e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.275451215745112110e-01,1.538502272626980139e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.990559186637617772e-01,1.000000000000000000e+00,-9.224945533769062678e+00,0.000000000000000000e+00,1.202614379084967311e+01,-4.539578794480754631e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.244842714459067246e-02,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.236628395407448844e+00,-4.667973490152151350e-01,1.028283394007280804e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
8.168097070139094251e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.837377922462266833e+00,-1.471256288842852866e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.249778040840485049e-01,0.000000000000000000e+00
4.625052366987850050e+00,0.000000000000000000e+00,5.662337662337662003e+00,1.000000000000000000e+00,-1.303267700041893562e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.237536656891495390e+00,9.403854210305821582e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.216474565404286778e+00,0.000000000000000000e+00,-2.893744444606349830e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.093039182828915656e+00,2.240779867981989248e+00
4.291719033654517013e+00,0.000000000000000000e+00,5.329004329004328966e+00,0.000000000000000000e+00,-1.336601033375226777e+01,0.000000000000000000e+00,1.000000000000000000e+00,-5.237536656891495390e+00,9.737187543639155507e+00
6.956221198156681496e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.070150816925010417e+01,7.993506493506493449e+00,1.000000000000000000e+00,-5.237536656891495390e+00,7.072685379136991912e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999956e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.178754266211603730e-01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.807167235494880120e-01,9.863975211065204585e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.362379555927942576e+00,1.000000000000000000e+00,-1.765772936740678389e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.237536656891495390e+00,1.680393799748638273e+01
0.000000000000000000e+00,1.024340422610158369e-01,1.000000000000000000e+00,0.000000000000000000e+00,-1.808752596254527223e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.365020512556430976e-01,1.700808486533806896e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.762379555927942931e+00,0.000000000000000000e+00,-1.765772936740678389e+01,0.000000000000000000e+00,1.000000000000000000e+00,-5.237536656891495390e+00,1.660393799748638344e+01
0.000000000000000000e+00,1.139552771825723676e+00,6.697434206911707655e-01,0.000000000000000000e+00,-6.208862150431294635e-01,1.000000000000000000e+00,0.000000000000000000e+00,-3.434426679852755071e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.395527718257238425e-01,6.697434206911707655e-01,1.000000000000000000e+00,-6.208862150431294635e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.434426679852755071e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.767375719595554340e-02,6.246187492031735067e-01,1.000000000000000000e+00,-5.765345651043964903e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.065207371012190207e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.605345911949684984e-02,5.992531446540879658e-01,1.000000000000000000e+00,-9.243317610062892209e-01,0.000000000000000000e+00,5.027122641509433887e-01,-4.914308176100628534e-01,0.000000000000000000e+00
2.185257330326020042e-01,7.309821611646503958e-02,1.000000000000000000e+00,1.741131843346319430e+00,-1.096140045109698535e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.408652860364978388e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.650912106135985713e-01,1.000000000000000000e+00,-1.434968017057569156e+00,0.000000000000000000e+00,1.264214641080312562e+00,-7.404643449419567869e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.224038302790159571e-01,1.577885091629519509e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.160145286445434465e-01,1.762010896483407474e-01
4.271733909702208898e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.868035542747358280e+00,-1.241024255523534903e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.506003842459173514e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.097673757195955391e+00,6.246187492031735067e-01,0.000000000000000000e+00,-5.765345651043964903e-01,1.000000000000000000e+00,0.000000000000000000e+00,-3.065207371012190207e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.714285714285713969e-01,0.000000000000000000e+00,-3.571428571428570953e-01,8.571428571428570953e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999833e-01
0.000000000000000000e+00,1.666666666666666574e-01,6.666666666666666297e-01,1.000000000000000000e+00,-4.166666666666666297e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.686370401871146063e+00,9.746289602381458250e-01,0.000000000000000000e+00,-1.000000000000000000e+00,1.625728258558366779e+00,0.000000000000000000e+00,-5.316606421433127672e-01,1.087731235381671213e-01
